"topic_cluster","search_term","search_intent","audience_persona","funnel_stage","geographic_market","time_period_examined","search_type","trend_direction","regional_interest_observation","related_top_searches","related_rising_searches","serp_format_and_dominant_results","competitor_or_alternative_observed","existing_target_url","recommended_action","priority_score","reason_for_priority","data_evidence_note","client_confirmation_needed"
"D - billing","construction receivables management","informational/commercial","Accounts; owner/CMD","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: entirely US - Levelset, Projul, Foundation Software x2, Billtrust, PBMares, CMiC, Planyard, LumberFi, Integrative Systems. The search tool itself noted results contain no India-specific information. FLAG: severe US index distortion; no Indian evidence gathered.","Foundation Software; Levelset; Billtrust (all US)","/ra-billing-software; /tools/cash-stuck (VERIFIED exists)","DO NOT target the bare term. If pursued at all, target 'payment follow-up' / 'delayed payment' framing in Indian vocabulary","4","No Indian evidence at all from this SERP. US incumbents with heavy authority dominate. Cannot justify investment on the evidence available.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. IMPORTANT: the search index used is documented as US-only/US-weighted, so this SERP observation may not match what a user in India sees; this row is FLAGGED as likely distorted.","Client to re-run on an India SERP; we have no Indian data for this term"
"E - project/cost control","dpr software construction","commercial investigation","Project manager; site engineer; owner/CMD","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: excellent India vendor SERP - SiteSetu DPR software and DPR-format-India blog, Trackovo, Karyati, SuperWise (plus a 'Construction Reporting Pack for India'), Tactive, BuildFormula, and an Afcons-branded Google Play app. Snippets mention WhatsApp sharing, geo-tagged photos, 3-minute site entry - very India-field-reality specific.","SiteSetu; Trackovo; Karyati; SuperWise; Tactive","/reduce-project-delays; /platform; no dedicated DPR page","CREATE a DPR software page linking to /reduce-project-delays, or make DPR a first-class section there","2","Clear India intent and active vendor competition (which validates the market). Lower than 1 only because DPR is a feature wedge rather than the ERP buying decision, and several well-funded India competitors already publish here.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm sotyn.ai's DPR capability is strong enough to lead with"
"E - project/cost control","daily progress report format construction","informational (format download)","Site engineer; project manager","TOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: template SERP - SafetyCulture x2, Mitti, projectqualityhub free Excel/Word, plus a Civil4M FORUM thread and bhadanisrecordedlectures (a TRAINING provider - flagged). Mixed geography; the Indian results are format downloads and forum posts.","SafetyCulture; projectqualityhub; Civil4M forum; SiteSetu","/resources; feeds a DPR page and /reduce-project-delays","CREATE a /resources asset: DPR format (Excel) with guidance on what makes a DPR usable for billing and delay claims","2","Reliable TOFU capture for the site-engineer/PM persona and an easy quality win over SafetyCulture-style generic templates. Note a training provider ranks here, which slightly dilutes commercial intent.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm template giveaway"
"E - project/cost control","material reconciliation in construction","informational/commercial","Project manager; billing engineer; owner/CMD","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: mixed formats with strong India signal - two YouTube tutorials (cement and steel reconciliation statements, one referencing CPWD DSR), a Civil4M FORUM thread on RMC reconciliation, Quora, Nway ERP (format, formula, example), civaropulse steel reconciliation guide, civilengineerdk, constructionduniya blogspot. Vocabulary is unmistakably Indian (rolling margin, lapping, theoretical vs actual consumption).","Nway ERP; civaropulse; Civil4M forum; YouTube creators","/material-reconciliation (exact match, already exists)","OPTIMISE /material-reconciliation (and cross-link the existing /tools/material-wastage calculator and /resources/epc-margin-leakage-checklist) - add worked cement and steel reconciliation statements with the standard consumption norms, and counter the YouTube-led SERP with a calculable on-page example","1","Exact-match page exists and the term has strong, clearly Indian demand. Ranking results are YouTube videos, forum threads and blogspot pages - sotyn.ai can publish a decisively better and more authoritative resource. Material leakage is a top ERP purchase trigger.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm which consumption norms sotyn.ai will publish (CPWD DSR vs company norms)"
"E - project/cost control","boq vs actual cost tracking","informational/commercial","Project manager; owner/CMD; billing engineer","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: India vendor/blog SERP - RDash on Medium, Peacksoft ERP, Onsite BOQ software, Realx BOQ software, PySquad, buildxl, OConstruction, plus foreign (Nomitech, asestimation). Snippets frame it as live BOQ baseline vs incurred cost at item level.","RDash; Onsite; Realx ERP; Peacksoft","/platform; VERIFIED no BOQ-variance calculator exists (current set: cash-stuck, erp-roi, labour-leak, material-wastage, profit-leak, quote-margin, ra-bill, retention)","CREATE a /tools calculator for item-level BOQ vs actual variance plus a supporting page, linked to /material-reconciliation and /tools/material-wastage","2","Strong product fit and a credible India SERP, but the term has several phrasings and no single dominant one, so ranking is less certain than the exact-match billing terms.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm preferred phrasing with the client's own sales language"
"E - project/cost control","job costing software for construction india","commercial investigation","Owner/CMD; accounts","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: predominantly US/foreign - SourceForge, Timeero, SoftwareAdvice, AccountingDepartment, Knowify, LiveCosts, Acumatica, Xpedeon (India-origin but global), with only Tactive and an nyggs listicle representing India. FLAG: US index distortion; 'job costing' is more American vocabulary than Indian.","Knowify; Xpedeon; Tactive; Acumatica","/platform; /epc-erp-software","Cover as a section; prefer the Indian phrasing 'project-wise costing' or 'site-wise profitability' for any dedicated content","3","Real product fit but the term is US-vocabulary-led and the SERP reflects that. Indian buyers are more likely to search project costing or site profitability.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. IMPORTANT: the search index used is documented as US-only/US-weighted, so this SERP observation may not match what a user in India sees; this row is FLAGGED as likely distorted.","Client to confirm which phrase their prospects actually use"
"E - project/cost control","construction cash flow management software india","commercial investigation","Owner/CMD; accounts","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: split - foreign forecasting vendors (Deltek, Kahua, Planyard, CMiC, CashFlowFrog, Contractor Foreman) and India SMB content (constructionestimatorindia x3 naming BuildNext, Odoo, Vyapar with Hindi UI and Rs pricing). The Indian results are listicles rather than product pages.","BuildNext; Vyapar; Odoo; Planyard; Deltek","/tools/cash-stuck and /resources/cash-flow-control-template (VERIFIED both already exist); /platform","OPTIMISE the existing /tools/cash-stuck calculator and /resources/cash-flow-control-template for this query. Do NOT build a new calculator or a standalone vendor page","3","Decent fit but cash flow is a symptom addressed by RA billing and receivables, which we target more directly elsewhere. Avoid cannibalising stronger pages.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","None"
"F - implementation/commercial","erp implementation for construction company india","commercial investigation","Owner/CMD; IT head","MOFU-BOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: India vendor and advisory pages - ESS India, In4Velocity, constructionestimatorindia x2, StrategicERP, Vaps, Bytelogic, eresource, nyggs. Snippets give concrete implementation detail (4-12 week timelines, assessment/migration/training phases, SAP-Oracle 18-24 months, PF/ESI/RERA/GST compliance).","In4Velocity; StrategicERP; eresource; Ramco; Odoo","/construction-erp-implementation (exact match, already exists)","OPTIMISE /construction-erp-implementation - publish a real, dated implementation plan with phase durations and named deliverables; competitors publish vague timelines","1","Exact-match page exists and this is a high-intent, late-funnel term. Ranking pages make unverifiable timeline claims; sotyn.ai can publish an evidenced, specific plan. Implementation risk is the main objection blocking Indian ERP purchases.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm sotyn.ai's real implementation timeline so published figures are defensible"
"F - implementation/commercial","excel to erp migration construction","informational/commercial","Owner/CMD; project manager","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: entirely foreign - Constellation HomeBuilder, Premier x2, Anterra, TechOne (CZ), a2zglobal, pasconcept, paxerp, arribatec. No India results at all. Framing is generic 'spreadsheets no longer enough'. FLAG: US/EU index distortion.","Premier Construction Software; Anterra; Constellation","/construction-erp-implementation; /scorecard","CREATE an India-framed Excel-to-ERP migration guide under /resources, linked to /scorecard and /construction-erp-implementation","2","Excel is the real incumbent competitor for Indian mid-market contractors, so the topic matters commercially even though the observed SERP is foreign. The absence of any Indian result is itself the opportunity - but note we have no Indian demand evidence.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. IMPORTANT: the search index used is documented as US-only/US-weighted, so this SERP observation may not match what a user in India sees; this row is FLAGGED as likely distorted.","Client to confirm Indian demand exists; our SERP evidence for this term is entirely foreign"
"F - implementation/commercial","construction erp implementation cost india","commercial/transactional","Owner/CMD; accounts","BOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: India pricing content - Sage India, SoftwareSuggest ERP price India, actouch, Target Integration, Aasaan 'Construction ERP Pricing in India for Builders 2026', shivit, globalkeyinfosolution, plus a natlawreview PRESS RELEASE (low quality). Concrete figures published: Onsite Rs 12,000/user/year, StrategicERP Rs 4,000/user/month annual, SME ERP projects Rs 5-20 lakh.","Aasaan; SoftwareSuggest; Sage India; Onsite and StrategicERP (as priced examples)","/pricing (already exists)","OPTIMISE /pricing or create an implementation-cost explainer - competitors publish ranges without transparency; sotyn.ai can publish an actual cost breakdown","1","Explicit BOFU commercial intent with an India-specific SERP and real published price points to benchmark against. Price transparency is a strong differentiator in a market where every vendor says 'request a quote'.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Client must approve publishing actual pricing or a defensible range - this is the key blocker"
"F - implementation/commercial","erp for small construction companies india","commercial investigation","Owner/CMD of SME contractor","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: India listicle-dominated - constructionestimatorindia x3, constructionplacements, RDash, Inniti, Realx, eresource, nyggs. Snippets name Powerplay, Realx, Tactive, Zoho Projects, Nway, BuildNext, Tally Prime + add-ons, Odoo as SME-suitable, and cite go-live in weeks.","Powerplay; Realx ERP; Tactive; Nway; Tally Prime + add-ons","/pricing; /epc-erp-software; /scorecard","CREATE an SME-focused page (ERP for small and mid-size contractors) or a strong section on /pricing, with an honest 'you may not need ERP yet' section","2","Good India SERP and a large addressable segment, but every result is a listicle, so ranking requires beating aggregators. Strong fit with /scorecard as the conversion asset.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm sotyn.ai actually serves sub-Rs 20 crore contractors or only mid-market and above"
"F - implementation/commercial","construction erp demo","transactional/navigational","Owner/CMD; project manager","BOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: vendor demo/booking pages plus one IndiaMART product listing quoting Rs 7,50,000/unit - SoftTech CivitBUILD, Onfinity, StrategicERP demo page, Trackovo (14-day trial), eresource (30-day trial), NYGGS (30-minute demo). Clearly India-specific and clearly transactional.","StrategicERP; Trackovo; NYGGS; eresource; SoftTech CivitBUILD","/demo (exact match, already exists)","OPTIMISE /demo - competitors offer generic demos; differentiate with a specific agenda (bring your BOQ and last RA bill) and free trial terms if offered","2","Highest purchase intent of any term here and the page exists, but the term is mostly navigational - searchers usually append a brand name. Value is in conversion quality, not capture volume.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm whether sotyn.ai offers a free trial, since competitors advertise 14 and 30 day trials"
"G - practical format","ra bill format in excel","informational (format download)","Billing engineer; site engineer","TOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: see also 'running account bill format excel'. Format downloads plus two YouTube tutorials (one in Hindi), signNow, Scribd, In4Velocity blog, SiteSetu, constructionsupply.ai, Yojo, xlsxtemplates. Unambiguously India-specific.","SiteSetu; Yojo; constructionsupply.ai; In4Velocity; YouTube","/tools/ra-bill (VERIFIED calculator already exists); /resources has no RA bill format asset","CREATE the RA bill format (Excel) asset under /resources and link it to the existing /tools/ra-bill calculator and /ra-billing-software. Single asset also serves 'running account bill format excel'","2","Same asset as the running-account-bill row - highest-value TOFU into our strongest BOFU page. Publishing one excellent, correctly-calculating format beats the entire current SERP.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm template giveaway"
"G - practical format","measurement book format excel","informational (format download)","Billing engineer; site engineer; QS","TOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: weak SERP - Scribd x2, Pinterest, civilthings PDF, civiljungles, technicalcivil PDF, expertcivil, a quantity-takeoff download page, plus a Wikipedia LandXML page (irrelevant). Mostly scanned PDFs and low-quality blogs. Very beatable.","Scribd; civilthings; expertcivil (all low quality)","/resources; feeds the proposed measurement book page","CREATE an MB format asset (Excel) bundled with the measurement book / e-MB page","2","Easiest quality win in the study - the current SERP is Pinterest and scanned PDFs. Slightly lower than RA bill format because MB is a step further from the purchase decision.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm template giveaway"
"G - practical format","boq format in excel","informational (format download)","Site engineer; QS; billing engineer","TOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: template downloads plus Wikipedia - Scribd, Sourcetable, houseyog, constructionestimatorindia, greenarchworld, constructioncivilengineering, Tendrofy, capitalbuildcon. India signal is present and specific (IS 1200 units: Cum, Sqm, Kg, Rmt, Nos).","Tendrofy; constructionestimatorindia; capitalbuildcon; Scribd","/resources; feeds the proposed BOQ vs actual page","CREATE a BOQ format asset referencing IS 1200 units, linked to BOQ vs actual cost content","3","Large but generic demand, heavily served by estimating and DIY-adjacent sites, and it attracts students and homeowners as well as contractors. Useful as part of a format bundle rather than a priority.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm we accept mixed-quality traffic on this term"
"G - practical format","dpr format for construction in excel","informational (format download)","Site engineer; project manager","TOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: as per 'daily progress report format construction' - SafetyCulture, projectqualityhub, Civil4M forum, SiteSetu blog 'DPR Format for Construction in India', livefield, Nway, plus a training provider.","SiteSetu; SafetyCulture; projectqualityhub; Nway","/resources; feeds the proposed DPR page","CREATE the DPR format asset (single asset also serving 'daily progress report format construction')","2","Consolidates with the DPR format row. Good site-engineer capture feeding a DPR product page.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm template giveaway"
"G - practical format","purchase order format for construction","informational (format download)","Purchase manager; accounts","TOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: entirely generic and foreign - ProjectManager, Smartsheet, ProcureDesk, Sourcetable, Vertex42, FastEasyAccounting x2, ConstructionLogs, with one India result (capitalbuildcon). No Indian PO conventions visible. FLAG: US index distortion and a generic-template intent.","Smartsheet; Vertex42; ProjectManager; capitalbuildcon","/resources; /construction-procurement-software","LOW priority. Include only as part of a procurement format bundle, with GST and Indian PO terms as the differentiator","4","Generic template demand owned by high-authority horizontal template sites. Weak differentiation and weak India signal.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. IMPORTANT: the search index used is documented as US-only/US-weighted, so this SERP observation may not match what a user in India sees; this row is FLAGGED as likely distorted.","None"
"G - practical format","bill checking checklist construction","informational","Billing engineer; project manager","TOFU-MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: consolidates with 'contractor bill checking checklist' - Civil4M forum thread ranks, plus Scribd, civaropulse, and US results (Levelset, Raken, World Bank). One result (Stone Development contractor-vetting) is hiring intent, not billing - evidence of query ambiguity.","Civil4M forum; Levelset; Scribd","/resources; feeds /ra-billing-software","CREATE the bill verification checklist asset (single asset also serving 'contractor bill checking checklist')","2","Forum ranking proves unmet demand from exactly our billing-engineer persona. Consolidated with the earlier checklist row.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially. NOTE: Google Trends was queried on a close variant of this term, not the exact string, so the Trends cells are a proxy.","None"
"H - alternatives/comparison","procore alternative india","commercial investigation","Owner/CMD; project manager","MOFU-BOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: mostly foreign alternatives roundups (SoftwareAdvice, ProjectManager, Revizto, LiveCosts, Buildern, Remato, AlternativeTo, Serchen) with SoftwareSuggest providing the India angle - it names TallyPrime, ORION ERP, StrategicERP, Farvision, Bhoomi, Highrise. OpticVyu also appears. FLAG: partial US weighting, but the India-relevant result is genuinely useful.","StrategicERP; Farvision; Bhoomi; Highrise; TallyPrime","/compare/sotyn-vs-procore (VERIFIED to already exist in repo)","OPTIMISE the existing /compare/sotyn-vs-procore - retitle and reframe around 'Procore alternative for Indian contractors' and add the India-specific gaps (RA billing, GST/TDS, MB) the foreign roundups never mention. Do NOT create a new page","2","High-intent comparison traffic from buyers already convinced they need software. /compare infrastructure exists. Lower than 1 because Procore's Indian footprint is limited, so volume is uncertain.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. IMPORTANT: the search index used is documented as US-only/US-weighted, so this SERP observation may not match what a user in India sees; this row is FLAGGED as likely distorted.","None - repo verified: existing comparisons are sotyn-vs-{rdash, powerplay, onsite, procore, zoho, odoo}"
